time,flux,ferr
2.456368920296763536e+06,1.000375000000000014e+00,0.003625
2.456368921142173931e+06,9.997499999999999165e-01,0.003625
2.456368921866811812e+06,9.998749999999999583e-01,0.003625
2.456368922832995187e+06,9.998749999999999583e-01,0.003625
2.456368923678406049e+06,1.000375000000000014e+00,0.003625
2.456368924523816444e+06,9.997499999999999165e-01,0.003625
2.456368925490000285e+06,9.993749999999999023e-01,0.003625
2.456368926214637700e+06,1.000249999999999861e+00,0.003625
2.456368927060048562e+06,9.996249999999999858e-01,0.003625
2.456368936721884180e+06,9.996249999999999858e-01,0.003625
2.456368937446521595e+06,9.997499999999999165e-01,0.003625
2.456368938291932456e+06,9.998749999999999583e-01,0.003625
2.456368939258115832e+06,1.000249999999999861e+00,0.003625
2.456368940103526693e+06,9.996249999999999858e-01,0.003625
2.456368940948937088e+06,1.000124999999999931e+00,0.003625
2.456368941915120929e+06,9.974999999999999423e-01,0.003625
2.456368942639758345e+06,9.939999999999999947e-01,0.003625
2.456368943485169206e+06,9.886249999999999760e-01,0.003625
2.456368953147004824e+06,9.761249999999999094e-01,0.003625
2.456368953992415685e+06,9.761249999999999094e-01,0.003625
2.456368954837826081e+06,9.757499999999998952e-01,0.003625
2.456368955683236942e+06,9.758749999999999369e-01,0.003625
2.456368956528647337e+06,9.762499999999999512e-01,0.003625
2.456368957374058198e+06,9.757499999999998952e-01,0.003625
2.456368958219468594e+06,9.757499999999998952e-01,0.003625
2.456368959064879455e+06,9.763749999999999929e-01,0.003625
2.456368959910289850e+06,9.769999999999999796e-01,0.003625
2.456368969451352954e+06,9.984999999999999432e-01,0.003625
2.456368970296763349e+06,9.998749999999999583e-01,0.003625
2.456368971262946725e+06,1.000375000000000014e+00,0.003625
2.456368972108357586e+06,9.998749999999999583e-01,0.003625
2.456368972953767981e+06,9.997499999999999165e-01,0.003625
2.456368973678405862e+06,9.998749999999999583e-01,0.003625
2.456368974644589238e+06,1.000000000000000000e+00,0.003625
2.456368975490000099e+06,1.000000000000000000e+00,0.003625
2.456368976456183475e+06,1.000124999999999931e+00,0.003625
