BJD,RV,eRV,Inst
2455321.7484,-58455.0,11.0,CORALIE
2455327.7544,-58523.0,22.0,CORALIE
2455359.5932,-58511.0,11.0,CORALIE
2455361.6552,-58502.0,35.0,CORALIE
2455362.5676,-58471.0,13.0,CORALIE
2455365.5935,-58455.0,12.0,CORALIE
2455376.6394,-58534.0,12.0,CORALIE
2455378.6265,-58473.0,9.0,CORALIE
2455380.6376,-58522.0,12.0,CORALIE
2455304.4704,-58475.0,13.0, SOPHIE
2455305.4374,-58429.0,15.0, SOPHIE
2455323.4389,-58565.0,17.0, SOPHIE
2455329.4184,-58472.0,16.0, SOPHIE
2455331.4301,-58522.0,14.0, SOPHIE
2455334.4624,-58418.0,17.0, SOPHIE
2455336.4477,-58503.0,16.0, SOPHIE
2455368.3955,-58514.0,17.0, SOPHIE
